Gmt time,Open,High,Low,Close,Volume
28.10.2021 05:11:00.000,1.16058,1.16058,1.16052,1.16052,35.36
28.10.2021 05:12:00.000,1.16051,1.16053,1.16051,1.16053,2.39
28.10.2021 05:13:00.000,1.16054,1.16058,1.16049,1.1605,31.33
28.10.2021 05:14:00.000,1.16049,1.16049,1.16044,1.16044,14.06
28.10.2021 05:15:00.000,1.16044,1.16047,1.1604,1.1604,24.76
28.10.2021 05:16:00.000,1.16042,1.16043,1.16041,1.16041,6.65
28.10.2021 05:17:00.000,1.16042,1.16046,1.16037,1.16046,41.55
28.10.2021 05:18:00.000,1.16047,1.16047,1.16043,1.16043,23.5
28.10.2021 05:19:00.000,1.16044,1.16044,1.16039,1.16041,24.71
28.10.2021 05:20:00.000,1.1604,1.16043,1.1604,1.16042,5.29
28.10.2021 05:21:00.000,1.16042,1.16044,1.16042,1.16044,2.03
28.10.2021 05:22:00.000,1.16046,1.16046,1.16043,1.16043,2.14
28.10.2021 05:23:00.000,1.16042,1.16045,1.16041,1.16043,4.69
28.10.2021 05:24:00.000,1.16046,1.16047,1.16044,1.16044,5.93
28.10.2021 05:25:00.000,1.16043,1.16043,1.1604,1.1604,7.51
28.10.2021 05:26:00.000,1.16039,1.1604,1.16039,1.1604,3.52
28.10.2021 05:27:00.000,1.1604,1.1604,1.1604,1.1604,1.01
28.10.2021 05:28:00.000,1.16039,1.1604,1.16036,1.16039,11.69
28.10.2021 05:29:00.000,1.16041,1.16044,1.16041,1.16042,29.67
28.10.2021 05:30:00.000,1.16043,1.16044,1.1604,1.16041,29.42
28.10.2021 05:31:00.000,1.16041,1.16042,1.16033,1.16033,39.67
28.10.2021 05:32:00.000,1.16031,1.16031,1.16028,1.16028,20.1
28.10.2021 05:33:00.000,1.16029,1.16036,1.16029,1.16034,11.5
28.10.2021 05:34:00.000,1.16033,1.16033,1.1603,1.16031,4.6
28.10.2021 05:35:00.000,1.1603,1.16033,1.16028,1.16031,10.43
28.10.2021 05:36:00.000,1.1603,1.16036,1.1603,1.16034,24.71
28.10.2021 05:37:00.000,1.16034,1.16037,1.16033,1.16036,46.16
28.10.2021 05:38:00.000,1.16037,1.16039,1.16037,1.16038,9.59
28.10.2021 05:39:00.000,1.16037,1.16038,1.16035,1.16038,8.19
28.10.2021 05:40:00.000,1.16038,1.16038,1.16033,1.16033,23.06
28.10.2021 05:41:00.000,1.16034,1.16038,1.16034,1.16035,17.83
28.10.2021 05:42:00.000,1.16034,1.16037,1.16034,1.16034,11.84
28.10.2021 05:43:00.000,1.16034,1.16038,1.16034,1.16037,6.34
28.10.2021 05:44:00.000,1.16035,1.16039,1.16035,1.16039,20.92
28.10.2021 05:45:00.000,1.16038,1.16047,1.16038,1.16043,65.55
28.10.2021 05:46:00.000,1.16044,1.16047,1.16043,1.16045,32.67
28.10.2021 05:47:00.000,1.16046,1.16048,1.16044,1.16045,14.51
28.10.2021 05:48:00.000,1.16045,1.16047,1.16041,1.16045,21.65
28.10.2021 05:49:00.000,1.16046,1.16048,1.16043,1.16044,24.31
28.10.2021 05:50:00.000,1.16045,1.16045,1.16033,1.16034,89.59
28.10.2021 05:51:00.000,1.16033,1.16035,1.16029,1.16034,50.28
